"SiO2","TiO2","Al2O3","FeO","MnO","MgO","CaO","Na2O","K2O","P2O5","SO2","NiO","Cr2O3","Si","Ti","Al","Fe2","Mn","Mg","Ca","Na","K","Ph","S","Ni","Cr3","MgNum","CaNum","AlNum","Ca_Al","Si_sq","Si_Ti","InOPAMchull","ProbSat","State","T_degC","P_kbar","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18"
50.12,1.9,14.13,12.77,0.24,6.44,11.49,2.36,0.26,0.23,0,0.02,0.02,0.4726,0.0135,0.1571,0.1007,0.0019,0.0906,0.1161,0.0431,0.0031,0.0009,0,0.0002,0.0002,47.360167276529,0.72927135678392,0.249483881213276,0.73901973265436,0.22335076,0.0063801,TRUE,0.261,"UNSAT",1145,1.55,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",48,"WM-1498-1","2014-09-08","WM-2-MI1","plg","20.800000000000001","450",49.4,1.91,13.5,12.82,0.2417,6.47,11.19,2.34,0.2616,0.2357,0.0225,0.0199,98.8171,2,0.48824202559151,5.41412355616312,0.684333825250719,2032.43656817631,12371.0306912287,164.431628882195,33.0749661344717,111.654514393899,10.7443856232421,48.0704678964581,8.33575844945403,20.5908108157256,2.95804180733403,15.2434021360155,4.60957146425521,1.58223688031675,6.36206376879332,0.863672254749578,5.940026242296,1.25696441842332,3.82013095774983,0.458741594719049,3.98009070779571,0.432750376499775,1.45,0.227472059570067,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",48,"WM-1498-1","2014-09-08","WM-2-MI1","plg","20.800000000000001","450",49.4,1.91,13.5,12.82,0.2417,6.47,11.19,2.34,0.2616,0.2357,0.0225,0.0199,98.8171,2,0.48824202559151,5.41412355616312,0.684333825250719,2032.43656817631,12371.0306912287,164.431628882195,33.0749661344717,111.654514393899,10.7443856232421,48.0704678964581,8.33575844945403,20.5908108157256,2.95804180733403,15.2434021360155,4.60957146425521,1.58223688031675,6.36206376879332,0.863672254749578,5.940026242296,1.25696441842332,3.82013095774983,0.458741594719049,3.98009070779571,0.432750376499775,1.45,0.227472059570067
50.52,1.71,14.38,12.06,0.21,6.52,11.84,2.36,0.21,0.18,0,0,0.02,0.475,0.0121,0.1593,0.0948,0.0017,0.0915,0.1193,0.043,0.0025,0.0007,0,0,0.0002,49.1143317230274,0.735058533579791,0.251142992274949,0.748901443816698,0.225625,0.0057475,TRUE,0.261,"UNSAT",1146,0.91,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",49,"WM-1498-1","2014-09-08","WM-3-MI1","plg","46","800",49.9,1.77,13.21,12.48,0.2163,6.76,11.46,2.33,0.2165,0.1896,0.0237,NA,98.936,5,0.512742563704914,5.82318026602885,0.663404647044612,1959.31491518217,11481.704110191,159.3698062717,31.0550795636122,105.56321169579,9.32278066750993,47.2646191635377,7.83044809237885,19.5930587130349,2.82896167821973,13.0232435566162,4.08296049386805,1.58152179102774,5.70421569578399,0.820320183733073,5.19152312298539,1.05973000118697,3.43032925375622,0.459786112715465,3.75451975713239,0.510107320932191,0.78,0.0936809575876608,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",49,"WM-1498-1","2014-09-08","WM-3-MI1","plg","46","800",49.9,1.77,13.21,12.48,0.2163,6.76,11.46,2.33,0.2165,0.1896,0.0237,NA,98.936,5,0.512742563704914,5.82318026602885,0.663404647044612,1959.31491518217,11481.704110191,159.3698062717,31.0550795636122,105.56321169579,9.32278066750993,47.2646191635377,7.83044809237885,19.5930587130349,2.82896167821973,13.0232435566162,4.08296049386805,1.58152179102774,5.70421569578399,0.820320183733073,5.19152312298539,1.05973000118697,3.43032925375622,0.459786112715465,3.75451975713239,0.510107320932191,0.78,0.0936809575876608
50.4,1.7,14.65,11.9,0.21,6.75,11.79,2.23,0.22,0.12,0,0.01,0.02,0.4735,0.012,0.1622,0.0935,0.0017,0.0946,0.1187,0.0407,0.0026,0.0005,0,0,0.0001,50.2923976608187,0.744667503136763,0.255151801164071,0.731812577065351,0.22420225,0.005682,TRUE,0.345,"UNSAT",1151,1.69,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",50,"WM-1498-1","2014-09-08","WM-3-MI2","plg","70","800",49.59,1.75,13.41,12.27,0.2158,6.97,11.36,2.2,0.2202,0.1277,0.0162,0.0057,98.4898,5,0.503185453049754,5.94519003302678,0.655431564776768,1868.7399552692,11227.8003797533,156.958286380437,30.5617593539564,102.698546453723,9.04245770357826,44.32012568701,7.74701428401242,19.4933873839086,2.69259459301086,13.9168152414452,4.24232577970711,1.59059424170241,5.64074307530961,0.843468466495771,4.72123915556205,1.10482027051369,3.39813722134227,0.476760084553156,3.06739513311782,0.398967913741384,1.78,0.0928478037839305,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",50,"WM-1498-1","2014-09-08","WM-3-MI2","plg","70","800",49.59,1.75,13.41,12.27,0.2158,6.97,11.36,2.2,0.2202,0.1277,0.0162,0.0057,98.4898,5,0.503185453049754,5.94519003302678,0.655431564776768,1868.7399552692,11227.8003797533,156.958286380437,30.5617593539564,102.698546453723,9.04245770357826,44.32012568701,7.74701428401242,19.4933873839086,2.69259459301086,13.9168152414452,4.24232577970711,1.59059424170241,5.64074307530961,0.843468466495771,4.72123915556205,1.10482027051369,3.39813722134227,0.476760084553156,3.06739513311782,0.398967913741384,1.78,0.0928478037839305
49.65,1.79,13.89,12.6,0.2,7.36,12.04,2.08,0.22,0.14,0,0.03,0.01,0.4669,0.0126,0.1539,0.0991,0.0016,0.1031,0.1213,0.0378,0.0027,0.0005,0,0.0003,0.0001,50.9891196834817,0.762413576367065,0.247905927835052,0.788174139051332,0.21799561,0.00588294,TRUE,0.341,"UNSAT",1194,2.49,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",51,"WM-1498-1","2014-09-08","WM-4-MI1","plg","30.5","700",49.05,1.95,11.54,13.72,0.222,8.03,11.42,2.04,0.2383,0.1489,0.0169,0.0373,98.8199,10,0.508126572572359,5.45318594258836,0.646019469493607,1874.90522211549,10356.8929930708,152.588239402461,28.830063141558,95.5876136003527,8.18089795564134,44.2933273058811,7.0539261170364,18.9262266599921,2.37382350450234,12.8968905524844,3.93577082518524,1.25714821035593,4.9884829152911,0.677918573601186,4.53190932835307,0.980112879139913,2.95573212521491,0.414396626901867,2.93839058844617,0.408667067715698,2.66,0.984926593161961,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",51,"WM-1498-1","2014-09-08","WM-4-MI1","plg","30.5","700",49.05,1.95,11.54,13.72,0.222,8.03,11.42,2.04,0.2383,0.1489,0.0169,0.0373,98.8199,10,0.508126572572359,5.45318594258836,0.646019469493607,1874.90522211549,10356.8929930708,152.588239402461,28.830063141558,95.5876136003527,8.18089795564134,44.2933273058811,7.0539261170364,18.9262266599921,2.37382350450234,12.8968905524844,3.93577082518524,1.25714821035593,4.9884829152911,0.677918573601186,4.53190932835307,0.980112879139913,2.95573212521491,0.414396626901867,2.93839058844617,0.408667067715698,2.66,0.984926593161961
50.13,1.67,14.2,12.29,0.26,6.96,11.76,2.32,0.2,0.18,0,0.01,0.01,0.4709,0.0118,0.1572,0.0966,0.002,0.0975,0.1183,0.0423,0.0024,0.0007,0,0.0001,0.0001,50.2318392581144,0.736612702366127,0.25027861805445,0.752544529262086,0.22174681,0.00555662,TRUE,0.261,"UNSAT",1163,2.04,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",52,"WM-1498-1","2014-09-08","WM-4-MI2","plg","39.799999999999997","700",49.44,1.73,13.01,12.71,0.267,7.21,11.36,2.29,0.2031,0.1873,0.0147,0.0125,98.8009,5,0.532488821393392,5.64643658399206,0.729210016432339,1735.37336495842,11225.6482055095,143.998567399427,31.6287977962055,103.987854980516,8.45250679035109,43.0438455256743,7.36506523473252,19.8600825631344,2.21276145152604,12.6807364763424,5.08305416023788,1.54810225761386,3.82251380323094,0.8427754990261,5.57397347628934,0.985368980990415,2.74846577064275,0.525688760084827,3.68335103389392,0.449719785681398,2.19,0.578492883163888,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",52,"WM-1498-1","2014-09-08","WM-4-MI2","plg","39.799999999999997","700",49.44,1.73,13.01,12.71,0.267,7.21,11.36,2.29,0.2031,0.1873,0.0147,0.0125,98.8009,5,0.532488821393392,5.64643658399206,0.729210016432339,1735.37336495842,11225.6482055095,143.998567399427,31.6287977962055,103.987854980516,8.45250679035109,43.0438455256743,7.36506523473252,19.8600825631344,2.21276145152604,12.6807364763424,5.08305416023788,1.54810225761386,3.82251380323094,0.8427754990261,5.57397347628934,0.985368980990415,2.74846577064275,0.525688760084827,3.68335103389392,0.449719785681398,2.19,0.578492883163888
49.84,1.47,14.01,12.45,0.19,7.46,11.98,2.18,0.22,0.15,0,0.02,0.04,0.4675,0.0103,0.1548,0.0976,0.0015,0.1044,0.1204,0.0396,0.0027,0.0006,0,0.0002,0.0003,51.6831683168317,0.7525,0.248754619958219,0.777777777777778,0.21855625,0.00481525,TRUE,0.512,"SAT",1190,2.69,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",53,"WM-1498-1","2014-09-08","WM-5-MI1","plg","23.699999999999999","375",49.08,1.5151,12.72,12.84,0.1922,7.71,11.52,2.17,0.2287,0.154,0.0411,0.0228,98.5022,5,0.465491644106256,5.41911844537762,0.543121724134115,1688.5758897403,9572.48871319926,138.206348584137,23.2683386743262,82.8111747319503,7.16679109121715,31.269971678517,6.01808785747842,14.3501564195969,2.12728531186244,11.0146255493629,3.54251971433218,1.11002906351343,4.00453871564597,0.684518228178691,4.14175400056099,0.877265346391007,2.35482791061353,0.372132077150491,2.56005525127872,0.276187955010365,2.99,0.996794647855028,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",53,"WM-1498-1","2014-09-08","WM-5-MI1","plg","23.699999999999999","375",49.08,1.5151,12.72,12.84,0.1922,7.71,11.52,2.17,0.2287,0.154,0.0411,0.0228,98.5022,5,0.465491644106256,5.41911844537762,0.543121724134115,1688.5758897403,9572.48871319926,138.206348584137,23.2683386743262,82.8111747319503,7.16679109121715,31.269971678517,6.01808785747842,14.3501564195969,2.12728531186244,11.0146255493629,3.54251971433218,1.11002906351343,4.00453871564597,0.684518228178691,4.14175400056099,0.877265346391007,2.35482791061353,0.372132077150491,2.56005525127872,0.276187955010365,2.99,0.996794647855028
50.1,1.4,14.49,11.51,0.17,7.49,12.19,2.28,0.2,0.15,0,0.02,0.01,0.4683,0.0098,0.1596,0.0899,0.0013,0.1044,0.1221,0.0414,0.0023,0.0006,0,0.0001,0.0001,53.7313432835821,0.746788990825688,0.254180602006689,0.765037593984962,0.21930489,0.00458934,TRUE,0.43,"UNSAT",1184,2.37,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",54,"WM-1498-1","2014-09-08","WM-6-MI1","plg","20.800000000000001","500",49.22,1.4411,13.17,11.84,0.17,7.72,11.7,2.27,0.1999,0.1509,0.0114,0.017,98.252,5,0.476568420515957,5.35828005110769,0.569158291026931,1590.38095563963,9112.69078722325,148.184972999529,23.6317027316143,76.364657187218,6.72240801270949,33.2268700155611,5.49114455784968,14.428890645874,2.0228103934356,11.543207012335,2.73294511724656,1.11247794238319,4.18281357272789,0.69729869836238,4.95015821313942,0.849752471097538,2.44055688025302,0.361089523398645,1.92642821035375,0.318813132756509,2.71,0.840563490469904,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",54,"WM-1498-1","2014-09-08","WM-6-MI1","plg","20.800000000000001","500",49.22,1.4411,13.17,11.84,0.17,7.72,11.7,2.27,0.1999,0.1509,0.0114,0.017,98.252,5,0.476568420515957,5.35828005110769,0.569158291026931,1590.38095563963,9112.69078722325,148.184972999529,23.6317027316143,76.364657187218,6.72240801270949,33.2268700155611,5.49114455784968,14.428890645874,2.0228103934356,11.543207012335,2.73294511724656,1.11247794238319,4.18281357272789,0.69729869836238,4.95015821313942,0.849752471097538,2.44055688025302,0.361089523398645,1.92642821035375,0.318813132756509,2.71,0.840563490469904
50.78,1.26,13.69,12.1,0.21,7.66,11.74,2.21,0.21,0.12,0,0,0.03,0.4756,0.0089,0.1511,0.0948,0.0017,0.1069,0.1178,0.0401,0.0025,0.0005,0,0,0.0002,52.9995042141795,0.746041798606713,0.241104196585288,0.779616148246195,0.22619536,0.00423284,TRUE,0.51,"SAT",1198,2.67,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",55,"WM-1498-1","2014-09-08","WM-7-MI1","plg","24.800000000000001","755",49.93,1.2389,13.46,11.9,0.2085,7.53,11.54,2.17,0.2075,0.118,0.0298,NA,98.6659,5,0.485076534755317,5.47762926997108,0.502316660608526,1754.84174495297,8033.62476930877,139.180533153872,20.8856930919711,57.7215837224574,5.30156059096795,28.7998599705213,4.04248189104384,11.3776276331582,1.68442204870556,8.41760927536192,2.55688873958889,1.23052321214425,3.4716983210613,0.629629051991867,3.92398693502904,0.863488245965109,1.98562627329588,0.320658376323118,2.2678497483941,0.33212492816944,2.61,0.750456894927977,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",55,"WM-1498-1","2014-09-08","WM-7-MI1","plg","24.800000000000001","755",49.93,1.2389,13.46,11.9,0.2085,7.53,11.54,2.17,0.2075,0.118,0.0298,NA,98.6659,5,0.485076534755317,5.47762926997108,0.502316660608526,1754.84174495297,8033.62476930877,139.180533153872,20.8856930919711,57.7215837224574,5.30156059096795,28.7998599705213,4.04248189104384,11.3776276331582,1.68442204870556,8.41760927536192,2.55688873958889,1.23052321214425,3.4716983210613,0.629629051991867,3.92398693502904,0.863488245965109,1.98562627329588,0.320658376323118,2.2678497483941,0.33212492816944,2.61,0.750456894927977
50.32,1.16,14.28,11.04,0.2,8.5,11.96,2.2,0.19,0.11,0,0,0.05,0.4681,0.0081,0.1566,0.0859,0.0016,0.1178,0.1192,0.0396,0.0023,0.0004,0,0,0.0003,57.8301423662248,0.750629722921914,0.250680326556747,0.76117496807152,0.21911761,0.00379161,TRUE,0.592,"SAT",1219,4.37,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",56,"JAS-130914-001","2014-09-13","JAS-1-MI1","plg","23.600000000000001","450",49.62,1.1937,12.98,11.39,0.2087,8.78,11.46,2.19,0.2001,0.1133,0.0475,NA,98.4988,5,0.591430016953144,5.47078231639156,0.533077789717915,1685.18403233038,7664.16804486252,136.551022382131,19.4899335095776,60.7485940354811,5.08561199897139,29.9276847122817,4.48696968536129,12.0140331332565,1.48403437986291,8.93288213659815,2.57730693631146,1.04050917456702,3.8106785082891,0.509814114750211,3.46195863092344,0.676558217538801,2.08858440392716,0.276374019138221,1.80353090498136,0.250407954059805,4.47,0.473267857638928,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",56,"JAS-130914-001","2014-09-13","JAS-1-MI1","plg","23.600000000000001","450",49.62,1.1937,12.98,11.39,0.2087,8.78,11.46,2.19,0.2001,0.1133,0.0475,NA,98.4988,5,0.591430016953144,5.47078231639156,0.533077789717915,1685.18403233038,7664.16804486252,136.551022382131,19.4899335095776,60.7485940354811,5.08561199897139,29.9276847122817,4.48696968536129,12.0140331332565,1.48403437986291,8.93288213659815,2.57730693631146,1.04050917456702,3.8106785082891,0.509814114750211,3.46195863092344,0.676558217538801,2.08858440392716,0.276374019138221,1.80353090498136,0.250407954059805,4.47,0.473267857638928
50.08,1.09,14.28,11.28,0.23,8.51,12.2,1.96,0.23,0.09,0,0.01,0.04,0.4668,0.0076,0.1568,0.088,0.0018,0.1182,0.1219,0.0355,0.0027,0.0004,0,0.0001,0.0003,57.3229873908826,0.774459974587039,0.251443232841565,0.777423469387755,0.21790224,0.00354768,TRUE,0.493,"UNSAT",1221,4.21,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",57,"JAS-130914-001","2014-09-13","JAS-1-MI2","plg","21.300000000000001","450",49.83,1.1387,14.81,10.77,0.2263,8.11,12.21,2.06,0.1609,0.0557,0.0506,0.0193,99.7272,12,0.576233464682806,5.43119455603185,0.692949218518047,1430.48455471216,8380.14222178003,133.020056491094,20.668203795791,66.7180829388483,5.08812595739336,32.109481157648,5.10235503388509,13.4827600570041,1.90916724339123,8.05850496475867,3.19737427376826,1.27173040915821,2.01356092628986,0.542339063518015,3.8112151664877,0.778652946898058,1.89781020182691,0.362580254819705,1.45687469612242,0.283108193466255,4.53,0.556955561010353,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",57,"JAS-130914-001","2014-09-13","JAS-1-MI2","plg","21.300000000000001","450",49.83,1.1387,14.81,10.77,0.2263,8.11,12.21,2.06,0.1609,0.0557,0.0506,0.0193,99.7272,12,0.576233464682806,5.43119455603185,0.692949218518047,1430.48455471216,8380.14222178003,133.020056491094,20.668203795791,66.7180829388483,5.08812595739336,32.109481157648,5.10235503388509,13.4827600570041,1.90916724339123,8.05850496475867,3.19737427376826,1.27173040915821,2.01356092628986,0.542339063518015,3.8112151664877,0.778652946898058,1.89781020182691,0.362580254819705,1.45687469612242,0.283108193466255,4.53,0.556955561010353
50.11,1.15,14.89,10.83,0.23,8.16,12.28,2.07,0.16,0.06,0,0.02,0.05,0.4666,0.008,0.1634,0.0843,0.0018,0.1132,0.1225,0.0374,0.0019,0.0002,0,0.0001,0.0004,57.3164556962025,0.766103814884303,0.259365079365079,0.74969400244798,0.21771556,0.0037328,TRUE,0.687,"SAT",1193,3.7,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",58,"JAS-130914-001","2014-09-13","JAS-1-MI2_b","plg","21.300000000000001","450",49.56,1.2062,11.21,12.5,0.2514,9.46,11.22,2.01,0.2537,0.096,0.0386,0.0171,98.1476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,0.964289128580556,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",58,"JAS-130914-001","2014-09-13","JAS-1-MI2_b","plg","21.300000000000001","450",49.56,1.2062,11.21,12.5,0.2514,9.46,11.22,2.01,0.2537,0.096,0.0386,0.0171,98.1476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,0.964289128580556
49.33,1.27,14.44,10.84,0.19,8.71,13.04,1.83,0.18,0.1,0,0.02,0.05,0.4595,0.0089,0.1585,0.0845,0.0015,0.1209,0.1301,0.033,0.0022,0.0004,0,0.0002,0.0004,58.8607594936709,0.79767014101778,0.256472491909385,0.820820189274448,0.21114025,0.00408955,TRUE,0.664,"SAT",1239,3.68,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",59,"JAS-130914-001","2014-09-13","JAS-3-MI1","plg","15.4","340",48.6,1.3533,12.33,11.51,0.1993,9.26,12.33,1.85,0.1953,0.1032,0.0523,0.0224,98.1324,8,0.479468736105331,4.40536964523177,0.527202920890703,1287.98255084875,7669.75519536903,142.81866748146,19.4948661436876,58.9156118504786,5.2783726084571,26.0326746693186,4.59674569602975,12.6127672549943,1.80349920608205,8.47577416008573,2.700148705079,0.920909624530464,3.70256511316651,0.565678903836473,3.86442314883276,0.707641898193168,2.31518089099599,0.321626483183743,1.58261718476709,0.281061764277493,4.17,0.753860721524268,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",59,"JAS-130914-001","2014-09-13","JAS-3-MI1","plg","15.4","340",48.6,1.3533,12.33,11.51,0.1993,9.26,12.33,1.85,0.1953,0.1032,0.0523,0.0224,98.1324,8,0.479468736105331,4.40536964523177,0.527202920890703,1287.98255084875,7669.75519536903,142.81866748146,19.4948661436876,58.9156118504786,5.2783726084571,26.0326746693186,4.59674569602975,12.6127672549943,1.80349920608205,8.47577416008573,2.700148705079,0.920909624530464,3.70256511316651,0.565678903836473,3.86442314883276,0.707641898193168,2.31518089099599,0.321626483183743,1.58261718476709,0.281061764277493,4.17,0.753860721524268
49.19,1.27,14.02,11.19,0.17,8.94,13.2,1.68,0.17,0.12,0,0,0.05,0.4589,0.0089,0.1541,0.0873,0.0014,0.1244,0.1319,0.0303,0.002,0.0005,0,0,0.0004,58.7623996221068,0.813193588162762,0.251386623164763,0.855937702790396,0.21058921,0.00408421,FALSE,0.823,"SAT",1262,3.75,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",60,"JAS-130914-001","2014-09-13","JAS-3-MI1_b","plg","15.4","450",48.65,1.3605,11.98,11.93,0.1823,9.55,12.58,1.68,0.1796,0.1228,0.0538,NA,98.5938,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,0.368161333124407,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",60,"JAS-130914-001","2014-09-13","JAS-3-MI1_b","plg","15.4","450",48.65,1.3605,11.98,11.93,0.1823,9.55,12.58,1.68,0.1796,0.1228,0.0538,NA,98.5938,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,0.368161333124407
50.1,1.47,14.56,10.72,0.18,8.34,12.18,2.08,0.19,0.14,0,0,0.04,0.4668,0.0103,0.1599,0.0836,0.0014,0.1159,0.1216,0.0375,0.0022,0.0006,0,0,0.0003,58.0952380952381,0.764299182903834,0.255146002872188,0.760475297060663,0.21790224,0.00480804,TRUE,0.422,"UNSAT",1216,4.02,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",61,"JAS-130914-001","2014-09-13","JAS-5-MI1","plg","39.5","650",48.88,1.5033,13.15,10.96,0.181,8.54,11.61,2.04,0.1906,0.1465,0.0382,NA,97.5844,5,0.574320677932121,5.63261480935305,0.682565692794249,1194.76019874415,9697.41089869754,140.97080067027,25.1878151672672,78.0039839948861,6.69741321629956,35.1764771470743,5.86392991656794,15.3025707827864,2.52126568222013,11.8286024168653,3.02966216676715,1.26295831380125,3.55647391145514,0.65241940073496,5.51262894235661,0.999543137695325,2.2562694298897,0.355554468228917,2.50175925750235,0.301238852397332,4.21,0.936294380652041,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",61,"JAS-130914-001","2014-09-13","JAS-5-MI1","plg","39.5","650",48.88,1.5033,13.15,10.96,0.181,8.54,11.61,2.04,0.1906,0.1465,0.0382,NA,97.5844,5,0.574320677932121,5.63261480935305,0.682565692794249,1194.76019874415,9697.41089869754,140.97080067027,25.1878151672672,78.0039839948861,6.69741321629956,35.1764771470743,5.86392991656794,15.3025707827864,2.52126568222013,11.8286024168653,3.02966216676715,1.26295831380125,3.55647391145514,0.65241940073496,5.51262894235661,0.999543137695325,2.2562694298897,0.355554468228917,2.50175925750235,0.301238852397332,4.21,0.936294380652041
50.16,1.48,13.95,12.52,0.23,7.31,11.87,2.07,0.24,0.14,0,0,0.03,0.4714,0.0105,0.1545,0.0984,0.0018,0.1024,0.1195,0.0377,0.0029,0.0005,0,0,0.0002,50.996015936255,0.760178117048346,0.246844543856846,0.773462783171521,0.22221796,0.0049497,TRUE,0.508,"SAT",1182,2.43,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",62,"JAS-130914-001","2014-09-13","JAS-10-MI1","plg","23.399999999999999","400",49.51,1.5293,12.62,12.93,0.2337,7.56,11.38,2.08,0.2498,0.1414,0.0314,NA,98.6158,NA,0.405306686864005,4.41008629217284,0.47820300507218,1202.73465377872,8681.93854015919,160.557092606183,23.8687221242223,70.9541225832764,6.10244902842576,31.3924253257005,5.49237167335541,14.7391825024511,1.97888006704417,11.0369310315604,2.84440451953283,1.15204398231519,4.63046481133196,0.494142648066782,3.83231514107922,0.810850509950394,2.26119179358677,0.333442012918149,2.77439241050159,0.27717112735557,2.67,0.972757673166694,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",62,"JAS-130914-001","2014-09-13","JAS-10-MI1","plg","23.399999999999999","400",49.51,1.5293,12.62,12.93,0.2337,7.56,11.38,2.08,0.2498,0.1414,0.0314,NA,98.6158,NA,0.405306686864005,4.41008629217284,0.47820300507218,1202.73465377872,8681.93854015919,160.557092606183,23.8687221242223,70.9541225832764,6.10244902842576,31.3924253257005,5.49237167335541,14.7391825024511,1.97888006704417,11.0369310315604,2.84440451953283,1.15204398231519,4.63046481133196,0.494142648066782,3.83231514107922,0.810850509950394,2.26119179358677,0.333442012918149,2.77439241050159,0.27717112735557,2.67,0.972757673166694
49.82,1.37,13.83,12.93,0.25,7.35,12.02,2.01,0.22,0.15,0,0.01,0.03,0.4687,0.0097,0.1533,0.1017,0.002,0.1031,0.1212,0.0367,0.0027,0.0006,0,0.0001,0.0003,50.341796875,0.767574414186194,0.246463022508039,0.790606653620352,0.21967969,0.00454639,TRUE,0.591,"SAT",1186,2.4,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",63,"JAS-130914-001","2014-09-13","JAS-10-MI2","plg","22.5","400",49.16,1.466,11.92,13.77,0.2633,7.85,11.46,1.98,0.2354,0.1581,0.0366,0.0107,98.6871,8,0.502673288441669,4.97387340489056,0.512281375949781,1086.59218566153,8000.50987337192,156.341807160682,19.9623192704177,64.2403519675799,5.8207589109239,29.7836492053469,5.41251634435682,11.8805985371511,1.56594377904965,10.7013294171791,2.47682462487511,0.96231034105923,2.83060351561393,0.583874044706114,3.63458510297437,0.818977596763485,2.29692565385789,0.186319217411104,2.31770480013828,0.296743074152212,2.88,0.999242243784448,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",63,"JAS-130914-001","2014-09-13","JAS-10-MI2","plg","22.5","400",49.16,1.466,11.92,13.77,0.2633,7.85,11.46,1.98,0.2354,0.1581,0.0366,0.0107,98.6871,8,0.502673288441669,4.97387340489056,0.512281375949781,1086.59218566153,8000.50987337192,156.341807160682,19.9623192704177,64.2403519675799,5.8207589109239,29.7836492053469,5.41251634435682,11.8805985371511,1.56594377904965,10.7013294171791,2.47682462487511,0.96231034105923,2.83060351561393,0.583874044706114,3.63458510297437,0.818977596763485,2.29692565385789,0.186319217411104,2.31770480013828,0.296743074152212,2.88,0.999242243784448
